Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Japan,JP
2023-01-01,January 1 Bank Holiday,['Common local holiday'],Japan,JP
2023-01-02,Day off for New Year's Day,['National holiday'],Japan,JP
2023-01-02,January 2 Bank Holiday,['Common local holiday'],Japan,JP
2023-01-03,January 3 Bank Holiday,['Common local holiday'],Japan,JP
2023-01-09,Coming of Age Day,['National holiday'],Japan,JP
2023-02-03,Setsubun,['Observance'],Japan,JP
2023-02-11,National Foundation Day,['National holiday'],Japan,JP
2023-02-14,Valentine's Day,['Observance'],Japan,JP
2023-02-23,Emperor's Birthday,['National holiday'],Japan,JP
2023-03-03,Dolls' Festival/Girls' Festival,['Observance'],Japan,JP
2023-03-21T06:24:20+09:00,March Equinox,['Season'],Japan,JP
2023-03-21T09:00:00+09:00,Spring Equinox,['National holiday'],Japan,JP
2023-04-29,Shōwa Day,['National holiday'],Japan,JP
2023-05-03,Constitution Memorial Day,['National holiday'],Japan,JP
2023-05-04,Greenery Day,['National holiday'],Japan,JP
2023-05-05,Children's Day,['National holiday'],Japan,JP
2023-05-14,Mother's Day,['Observance'],Japan,JP
2023-06-21T23:57:49+09:00,June Solstice,['Season'],Japan,JP
2023-07-07,Star Festival,['Observance'],Japan,JP
2023-07-17,Sea Day,['National holiday'],Japan,JP
2023-08-06,Hiroshima Memorial Day,['Observance'],Japan,JP
2023-08-09,Nagasaki Memorial Day,['Observance'],Japan,JP
2023-08-11,Mountain Day,['National holiday'],Japan,JP
2023-09-18,Respect for the Aged Day,['National holiday'],Japan,JP
2023-09-23T09:00:00+09:00,Autumn Equinox,['National holiday'],Japan,JP
2023-09-23T15:50:01+09:00,September Equinox,['Season'],Japan,JP
2023-10-09,Sports Day,['National holiday'],Japan,JP
2023-11-03,Culture Day,['National holiday'],Japan,JP
2023-11-15,7-5-3 Day,['Observance'],Japan,JP
2023-11-23,Labor Thanksgiving Day,['National holiday'],Japan,JP
2023-12-22T12:27:21+09:00,December Solstice,['Season'],Japan,JP
2023-12-25,Christmas,['Observance'],Japan,JP
2023-12-31,December 31 Bank Holiday,['Common local holiday'],Japan,JP
