Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],United Kingdom,GB
2023-01-02,New Year's Day observed,['National holiday'],United Kingdom,GB
2023-01-03,2nd January (substitute day),['Local holiday'],United Kingdom,GB
2023-01-05,Twelfth Night,"['Observance', 'Christian']",United Kingdom,GB
2023-01-06,Epiphany,"['Observance', 'Christian']",United Kingdom,GB
2023-01-07,Orthodox Christmas Day,"['Observance', 'Orthodox']",United Kingdom,GB
2023-01-14,Orthodox New Year,"['Observance', 'Orthodox']",United Kingdom,GB
2023-01-22,Lunar New Year,['Observance'],United Kingdom,GB
2023-01-25,Burns Night,['Local observance'],United Kingdom,GB
2023-02-06,Tu B'Shevat (Arbor Day),"['Observance', 'Hebrew']",United Kingdom,GB
2023-02-14,Valentine's Day,['Observance'],United Kingdom,GB
2023-02-18,Maha Shivaratri,"['Observance', 'Hinduism']",United Kingdom,GB
2023-02-18,Isra and Mi'raj,"['Observance', 'Muslim']",United Kingdom,GB
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,"['Observance', 'Christian']",United Kingdom,GB
2023-02-22,Carnival / Ash Wednesday,"['Observance', 'Christian']",United Kingdom,GB
2023-03-01,St. David's Day,"['Local observance', 'Christian']",United Kingdom,GB
2023-03-07,Purim,"['Observance', 'Hebrew']",United Kingdom,GB
2023-03-17,St Patrick's Day,"['Local holiday', 'Christian']",United Kingdom,GB
2023-03-19,Mother's Day,['Observance'],United Kingdom,GB
2023-03-20T21:24:20+00:00,March Equinox,['Season'],United Kingdom,GB
2023-03-23,Ramadan Start,"['Observance', 'Muslim']",United Kingdom,GB
2023-03-26T01:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],United Kingdom,GB
2023-04-02,Palm Sunday,"['Observance', 'Christian']",United Kingdom,GB
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",United Kingdom,GB
2023-04-06,First day of Passover,"['Observance', 'Hebrew']",United Kingdom,GB
2023-04-07,Good Friday,"['National holiday', 'Christian']",United Kingdom,GB
2023-04-08,Holy Saturday,"['Observance', 'Christian']",United Kingdom,GB
2023-04-09,Easter Sunday,"['Observance', 'Christian']",United Kingdom,GB
2023-04-10,Easter Monday,['Local observance'],United Kingdom,GB
2023-04-10,Easter Monday,"['Christian', 'Common local holiday']",United Kingdom,GB
2023-04-13,Last day of Passover,"['Observance', 'Hebrew']",United Kingdom,GB
2023-04-14,Orthodox Good Friday,"['Observance', 'Orthodox']",United Kingdom,GB
2023-04-15,Orthodox Holy Saturday,"['Observance', 'Orthodox']",United Kingdom,GB
2023-04-16,Orthodox Easter,"['Observance', 'Orthodox']",United Kingdom,GB
2023-04-17,Laylatul Qadr (Night of Power),"['Observance', 'Muslim']",United Kingdom,GB
2023-04-17,Orthodox Easter Monday,"['Observance', 'Orthodox']",United Kingdom,GB
