Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Brazil,BR
2023-02-17,Carnival Friday,['Observance'],Brazil,BR
2023-02-18,Carnival Saturday,['Observance'],Brazil,BR
2023-02-19,Carnival Sunday,['Observance'],Brazil,BR
2023-02-20,Carnival Monday,['National holiday'],Brazil,BR
2023-02-21,Carnival Tuesday,['National holiday'],Brazil,BR
2023-02-22,Carnival end (until 2pm),['National holiday'],Brazil,BR
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Brazil,BR
2023-04-07,Good Friday,['National holiday'],Brazil,BR
2023-04-09,Easter Sunday,['Observance'],Brazil,BR
2023-04-21,Tiradentes Day,['National holiday'],Brazil,BR
2023-05-01,Labor Day / May Day,['National holiday'],Brazil,BR
2023-05-14,Mother's Day,['Observance'],Brazil,BR
2023-06-08,Corpus Christi,['National holiday'],Brazil,BR
2023-06-12,Brazilian Valentine's Day,['Observance'],Brazil,BR
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Brazil,BR
2023-08-13,Father's Day,['Observance'],Brazil,BR
2023-09-07,Independence Day,['National holiday'],Brazil,BR
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Brazil,BR
2023-10-12,Our Lady of Aparecida / Children's Day,['National holiday'],Brazil,BR
2023-10-15,Teacher's Day,['Observance'],Brazil,BR
2023-10-28,Public Service Holiday,['National holiday'],Brazil,BR
2023-11-02,All Souls' Day,['National holiday'],Brazil,BR
2023-11-15,Republic Proclamation Day,['National holiday'],Brazil,BR
2023-11-20,Black Awareness Day,['Observance'],Brazil,BR
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Brazil,BR
2023-12-24,Christmas Eve (from 2pm),['National holiday'],Brazil,BR
2023-12-25,Christmas Day,['National holiday'],Brazil,BR
2023-12-31,New Year's Eve (from 2pm),['National holiday'],Brazil,BR
