Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],South Korea,KR
2023-01-21,Seollal Holiday,['National holiday'],South Korea,KR
2023-01-22,Seollal,['National holiday'],South Korea,KR
2023-01-23,Seollal Holiday,['National holiday'],South Korea,KR
2023-01-24,Seollal Holiday,['National holiday'],South Korea,KR
2023-02-14,Valentine's Day,['Observance'],South Korea,KR
2023-03-01,Independence Movement Day,['National holiday'],South Korea,KR
2023-03-21T06:24:20+09:00,March Equinox,['Season'],South Korea,KR
2023-04-05,Arbor Day,['Observance'],South Korea,KR
2023-05-01,Labor Day,['Common local holiday'],South Korea,KR
2023-05-05,Children's Day,['National holiday'],South Korea,KR
2023-05-08,Parents' Day,['Observance'],South Korea,KR
2023-05-15,Teacher's Day,['Observance'],South Korea,KR
2023-05-27,Buddha’s Birthday,['National holiday'],South Korea,KR
2023-05-29,Buddha’s Birthday Holiday,['National holiday'],South Korea,KR
2023-06-06,Memorial Day,['National holiday'],South Korea,KR
2023-06-21T23:57:49+09:00,June Solstice,['Season'],South Korea,KR
2023-07-17,Constitution Day,['Observance'],South Korea,KR
2023-08-15,Liberation Day,['National holiday'],South Korea,KR
2023-09-23T15:50:01+09:00,September Equinox,['Season'],South Korea,KR
2023-09-28,Chuseok Holiday,['National holiday'],South Korea,KR
2023-09-29,Chuseok,['National holiday'],South Korea,KR
2023-09-30,Chuseok Holiday,['National holiday'],South Korea,KR
2023-10-01,Armed Forces Day,['Observance'],South Korea,KR
2023-10-03,National Foundation Day,['National holiday'],South Korea,KR
2023-10-09,Hangeul Proclamation Day,['National holiday'],South Korea,KR
2023-10-31,Halloween,['Observance'],South Korea,KR
2023-12-22T12:27:21+09:00,December Solstice,['Season'],South Korea,KR
2023-12-24,Christmas Eve,['Observance'],South Korea,KR
2023-12-25,Christmas Day,['National holiday'],South Korea,KR
2023-12-31,New Year's Eve,['Observance'],South Korea,KR
